30,itu yang ngebubarin pengajian ustadz hanan ataki punya masalah apa sih dalam hidup nya? indonesia kok gini banget ya,Biann_ali
31,"maling teriak maling, siapa yang intolerant dan memecah belah bangsa ya...banser oh banser

mui kritik gp ansor soal penolakan hanan attaki: itu domainnya polisi https://t.co/9429ftyxug",Abi_Asdad
32,insyaallah...selalu ingat allah swt pak ustadz #muslim #islam https://t.co/ukluhx4txw,BillyFunky
33,@ronavioleta orang banser baik2 cuman otaknya ga waras,AdeFirm12263465
34,"@ronavioleta @alissawahid coba atuh yg viral teh banser sedang bubarin perjudian, perzinahan, tempat khamr, ini mah apeeeeeee? hoaammmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm",CINTANK66130449
35,@4l1b4115ser @pemikir5 salah orang tolol.. hanan attaki sama efin efendi beda,abdul_haliemz
36,@mardanialisera banser mah dah karatan..gal bakal paham 😁,Pringani
37,"kasian banser....  nila setitik rusak susu sebelanga, gara2 salah pilih pemimpinnya
#kamirakyatoposisi https://t.co/1cvqrfkxvu",caturjoko68
38,"kronologi pengajian ustadz hanan attaki di tegal dibatalkan gp ansor, ada apa? https://t.co/esjlo3ecay",tribuntimur
39,"ust. hanan attaki
di persekusi
pengajian di bubarkan
yg g habis pikir.yg bubarin org islam
yg juga org wni
....waras kah kita...
emang na surga rek milik sorangan wae kitu...
#rekkamanaatuhgaya",HananDenny
40,"mn yg lbh merusak islam :
&gt;&gt; islam liberal dan banser yg sangat lemah lembut kpd non muslim &amp; china tp sangat keras kpd umat islam &amp; arab??
atau 
&gt;&gt;hanan attaki yg menista nabi musa dg menyebutnya sbg premannya para nabi?
#hijab
#85jutarakyattolakjokowi",QIILrFx6RZ2ZhcD
41,"kasian ya ustad hanan attataki mau ceramah dibubarin...
eh giliran anjing dibelain.

btw ustadz yg suka bubarin pengajian itu ust siapa sh? ust abu janda ya 😂😂😂 https://t.co/ob5nmlk5ia",Kiy_Daus
42,"@stevaniehuangg ustadz yg bagaimana,, klo yg ngomongnya suka caci maki, provokatif, adu domba itu bukan ustadz kalleee,, 🤮🤮🤮🤮",MaulanaAdoel
43,"sekelas ustad hanan attaki diperkuat? sungguh negara yang sangat demokrasi. 

#85jutarakyattolakjokowi #",Arif22386117
44,sama aja sama fpi. 》》 alasan gp ansor tolak ustadz hanan attaki isi pengajian di tegal https://t.co/jspflefiiw,triplevick
45,"entah kenapa makin benci aja sama banser atau gp ansor itu, unfaedah aja gitu, harusnya yg di bubarin itu mereka bukan fpi atau hti...  susah sih klo pemimpinnya juga gitu...",adhis_lawliet
46,"#apaansi pada nolak kajiannya ustadz hanan attaqi. padahal tidak memprovokasi negara, cuma memprovokasi para jomblo dan yg pacaran biar segera putus(kan) menikah 😑",blogsadli
47,ucapan ust. hanan attaki yg ini yg dipermasalahin? ini kan cuma bahasa komunikasi dakwah aja biar mudah dipahamin. byk loh kiai-kiai nu yg ketika ceramah lebih “sangar” lagi bahasanya. cerita nabi muhammad pas nerima perintah shalat sering bgt dijadiin “lelucon”. biasa aja tapi https://t.co/zynpdlwwtz,arif_hil
48,@vikingcimahifc banser itu yg suka dangdutan sambil nyawer itu kan ?,thyo_erz
49,"waspada !!
nu &amp; banser sekarang banyak disusupi kelompok kiri (pki,lbgt,liberal).
#85jutarakyattolakjokowi",PkS_Simpatisan
50,ustadz gemblung https://t.co/kocrao49b0,GitaTropika
51,@ompu_yrn lebih punk mana hanan attaki atau @fullmoonfolks atau @jrx_sid ?,arrsyd__
52,ini yang angku paling nkri &amp; toleransi ?? coba sekali2 liat kajian ust. hanan attaki https://t.co/ku3scvucho,elgimuhamad
53,banser takuti anggota nya pada hijrah ngikut ustadz https://t.co/dynmry8xam,rie_sang
54,"ketika galau, stress, banyak beban gue pasti buka yutub dan langsung ketik ""hanan attaki"" 
beliau terbaik 🌷",sintazanetha
55,"ust hanan attaki?  kenapa?  kenapa beliau di tolak? pas liat siapa yg nolak...  yak elah banser? gp ansor?  mereka lagi, udah biasa, mereka dateng klo ada dangdutan doang, klo ada kajian ya dibubarin...  udah sering...",adhis_lawliet
56,@burhanmuhtadi gak ikutan ngutuk kelakuan banser om?,Netizen_Ortega
57,"@wagimandeep @ustadtengkuzul pegang erat bini mu kang wagiman, tar bini mu di bawa pulang sekalian,, ustadz dengkul mah orangnya serakahan suka comotin mlik orang.",Linima8
58,"ust. hanan attaki provokatif ceunah 😀
ga paham ih jalan pikirana kumaha",ryankharism
59,"muter kajian ustadz hanan attaki...
muter lagi, muter lagi...

di mana sih, kesan provokasinya? ada sih provokasi, provokasi kepada jomblo :-d",afifahafra79
60,"@dahnilanzar gk ada ustadz yg berbeda, selama dlm ceramahnya tdk provokasi.
selama ustadz yg ceramahnya mengajarkan kebaikan, toleransi dan ketakwaan pasti gk akan ada mslh.
kecuali ngustadz/ngulama yg selalu hujat, caci maki dan provokasi..apa bs di sebut toleransi?",Hueydeweyluey
61,"@banyolanhidup ustadz @hananattakilc  dianugrahi, suara khas yg lembut,menyejukan, mengingatkan tanpa menghardik,mengajak tanpa menyakiti, menjelaskan tanpa menyudutkan,@gpansor  knp hrs di usir, tanpa tabayun",Dude17103543
62,#nuonline ketika habib alwi bin nuh solo jadi banser: dalam pendidikan dan latihan dasar (diklatsar) banser… https://t.co/oqcbvtp1q3,PojokNU
63,"@hilmi28 ustadz abujendos, ustadz yaqult dan sejenisnya mas...",Sapto86956020
64,"jika engkau banyak membaca kitab namun masih jelek dalam akhlak, ketahuilah itu tanda ilmu antum tidak berkah 
.
- ustadz abu sa'ad rahimahullahu https://t.co/5imbytcvi4",indonesiatauhid
65,"sediih baca ny, pdhal adem bngett denger tausiyah ny.. yg sabar ustadz hanan attaki ☹️ https://t.co/f5vgxyijjj",MiraDhe
66,"@mas__piyuuu ustadz @hananattakilc  dianugrahi, suara khas yg lembut,menyejukan, mengingatkan tanpa menghardik,mengajak tanpa menyakiti, menjelaskan tanpa menyudutkan,@gpansor  knp hrs di usir, tanpa tabayun",Dude17103543
